Date,10 YR
2/10/17,2.41
2/9/17,2.4
2/8/17,2.34
2/7/17,2.4
2/6/17,2.42
2/3/17,2.49
2/2/17,2.48
2/1/17,2.48
1/31/17,2.45
1/30/17,2.49
1/27/17,2.49
1/26/17,2.51
1/25/17,2.53
1/24/17,2.47
1/23/17,2.41
1/20/17,2.48
1/19/17,2.47
1/18/17,2.42
1/17/17,2.33
1/13/17,2.4
1/12/17,2.36
1/11/17,2.38
1/10/17,2.38
1/9/17,2.38
1/6/17,2.42
1/5/17,2.37
1/4/17,2.46
1/3/17,2.45
12/30/16,2.45
12/29/16,2.49
12/28/16,2.51
12/27/16,2.57
12/23/16,2.55
12/22/16,2.55
12/21/16,2.55
12/20/16,2.57
12/19/16,2.54
12/16/16,2.6
12/15/16,2.6
12/14/16,2.54
12/13/16,2.48
12/12/16,2.49
12/9/16,2.47
12/8/16,2.4
12/7/16,2.34
12/6/16,2.39
12/5/16,2.39
12/2/16,2.4
12/1/16,2.45
11/30/16,2.37
11/29/16,2.3
11/28/16,2.32
11/25/16,2.36
11/23/16,2.36
11/22/16,2.31
11/21/16,2.33
11/18/16,2.34
11/17/16,2.29
11/16/16,2.22
11/15/16,2.23
11/14/16,2.23
11/10/16,2.15
11/9/16,2.07
11/8/16,1.88
11/7/16,1.83
11/4/16,1.79
11/3/16,1.82
11/2/16,1.81
11/1/16,1.83
10/31/16,1.84
10/28/16,1.86
10/27/16,1.85
10/26/16,1.79
10/25/16,1.77
10/24/16,1.77
10/21/16,1.74
10/20/16,1.76
10/19/16,1.76
10/18/16,1.75
10/17/16,1.77
10/14/16,1.8
10/13/16,1.75
10/12/16,1.79
10/11/16,1.77
10/7/16,1.73
10/6/16,1.75
10/5/16,1.72
10/4/16,1.69
10/3/16,1.63
9/30/16,1.6
9/29/16,1.56
9/28/16,1.57
9/27/16,1.56
9/26/16,1.59
9/23/16,1.62
9/22/16,1.63
9/21/16,1.66
9/20/16,1.69
9/19/16,1.7
9/16/16,1.7
9/15/16,1.71
9/14/16,1.7
9/13/16,1.73
9/12/16,1.68
9/9/16,1.67
9/8/16,1.61
9/7/16,1.54
9/6/16,1.55
9/2/16,1.6
9/1/16,1.57
8/31/16,1.58
8/30/16,1.57
8/29/16,1.57
8/26/16,1.62
8/25/16,1.58
8/24/16,1.56
8/23/16,1.55
8/22/16,1.55
8/19/16,1.58
8/18/16,1.53
8/17/16,1.56
8/16/16,1.57
8/15/16,1.55
8/12/16,1.51
8/11/16,1.57
8/10/16,1.5
8/9/16,1.55
8/8/16,1.59
8/5/16,1.59
8/4/16,1.51
8/3/16,1.55
8/2/16,1.55
8/1/16,1.51
7/29/16,1.46
7/28/16,1.52
7/27/16,1.52
7/26/16,1.57
7/25/16,1.58
7/22/16,1.57
7/21/16,1.57
7/20/16,1.59
7/19/16,1.56
7/18/16,1.59
7/15/16,1.6
7/14/16,1.53
7/13/16,1.48
7/12/16,1.53
7/11/16,1.43
7/8/16,1.37
7/7/16,1.4
7/6/16,1.38
7/5/16,1.37
7/1/16,1.46
6/30/16,1.49
6/29/16,1.5
6/28/16,1.46
6/27/16,1.46
6/24/16,1.57
6/23/16,1.74
6/22/16,1.69
6/21/16,1.71
6/20/16,1.67
6/17/16,1.62
6/16/16,1.57
6/15/16,1.6
6/14/16,1.62
6/13/16,1.62
6/10/16,1.64
6/9/16,1.68
6/8/16,1.71
6/7/16,1.72
6/6/16,1.73
6/3/16,1.71
6/2/16,1.81
6/1/16,1.85
5/31/16,1.84
5/27/16,1.85
5/26/16,1.83
5/25/16,1.87
5/24/16,1.86
5/23/16,1.84
5/20/16,1.85
5/19/16,1.85
5/18/16,1.87
5/17/16,1.76
5/16/16,1.75
5/13/16,1.71
5/12/16,1.75
5/11/16,1.73
5/10/16,1.77
5/9/16,1.77
5/6/16,1.79
5/5/16,1.76
5/4/16,1.79
5/3/16,1.81
5/2/16,1.88
4/29/16,1.83
4/28/16,1.84
4/27/16,1.87
4/26/16,1.94
4/25/16,1.91
4/22/16,1.89
4/21/16,1.88
4/20/16,1.85
4/19/16,1.79
4/18/16,1.78
4/15/16,1.76
4/14/16,1.8
4/13/16,1.77
4/12/16,1.79
4/11/16,1.73
4/8/16,1.72
4/7/16,1.7
4/6/16,1.76
4/5/16,1.73
4/4/16,1.78
4/1/16,1.79
3/31/16,1.78
3/30/16,1.83
3/29/16,1.81
3/28/16,1.89
3/24/16,1.91
3/23/16,1.88
3/22/16,1.94
3/21/16,1.92
3/18/16,1.88
3/17/16,1.91
3/16/16,1.94
3/15/16,1.97
3/14/16,1.97
3/11/16,1.98
3/10/16,1.93
3/9/16,1.9
3/8/16,1.83
3/7/16,1.91
3/4/16,1.88
3/3/16,1.83
3/2/16,1.84
3/1/16,1.83
2/29/16,1.74
2/26/16,1.76
2/25/16,1.71
2/24/16,1.75
2/23/16,1.74
2/22/16,1.77
2/19/16,1.76
2/18/16,1.75
2/17/16,1.81
2/16/16,1.78
2/12/16,1.74
2/11/16,1.63
2/10/16,1.71
2/9/16,1.74
2/8/16,1.75
2/5/16,1.86
2/4/16,1.87
2/3/16,1.88
2/2/16,1.87
2/1/16,1.97
1/29/16,1.94
1/28/16,2
1/27/16,2.02
1/26/16,2.01
1/25/16,2.03
1/22/16,2.07
1/21/16,2.02
1/20/16,2.01
1/19/16,2.06
1/15/16,2.03
1/14/16,2.1
1/13/16,2.08
1/12/16,2.12
1/11/16,2.17
1/8/16,2.13
1/7/16,2.16
1/6/16,2.18
1/5/16,2.25
1/4/16,2.24
12/31/15,2.27
12/30/15,2.31
12/29/15,2.32
12/28/15,2.24
12/24/15,2.25
12/23/15,2.27
12/22/15,2.24
12/21/15,2.2
12/18/15,2.19
12/17/15,2.24
12/16/15,2.3
12/15/15,2.28
12/14/15,2.23
12/11/15,2.13
12/10/15,2.24
12/9/15,2.22
12/8/15,2.24
12/7/15,2.23
12/4/15,2.28
12/3/15,2.33
12/2/15,2.18
12/1/15,2.15
11/30/15,2.21
11/27/15,2.22
11/25/15,2.23
11/24/15,2.24
11/23/15,2.25
11/20/15,2.26
11/19/15,2.24
11/18/15,2.27
11/17/15,2.25
11/16/15,2.27
11/13/15,2.28
11/12/15,2.32
11/10/15,2.32
11/9/15,2.36
11/6/15,2.34
11/5/15,2.26
11/4/15,2.25
11/3/15,2.23
11/2/15,2.2
10/30/15,2.16
10/29/15,2.19
10/28/15,2.1
10/27/15,2.05
10/26/15,2.07
10/23/15,2.09
10/22/15,2.04
10/21/15,2.04
10/20/15,2.08
10/19/15,2.04
10/16/15,2.04
10/15/15,2.04
10/14/15,1.99
10/13/15,2.06
10/9/15,2.12
10/8/15,2.12
10/7/15,2.08
10/6/15,2.05
10/5/15,2.07
10/2/15,1.99
10/1/15,2.05
9/30/15,2.06
9/29/15,2.05
9/28/15,2.1
9/25/15,2.17
9/24/15,2.13
9/23/15,2.16
9/22/15,2.14
9/21/15,2.2
9/18/15,2.13
9/17/15,2.21
9/16/15,2.3
9/15/15,2.28
9/14/15,2.18
9/11/15,2.2
9/10/15,2.23
9/9/15,2.21
9/8/15,2.2
9/4/15,2.13
9/3/15,2.18
9/2/15,2.2
9/1/15,2.17
8/31/15,2.21
8/28/15,2.19
8/27/15,2.18
8/26/15,2.18
8/25/15,2.12
8/24/15,2.01
8/21/15,2.05
8/20/15,2.09
8/19/15,2.12
8/18/15,2.2
8/17/15,2.16
8/14/15,2.2
8/13/15,2.19
8/12/15,2.14
8/11/15,2.15
8/10/15,2.24
8/7/15,2.18
8/6/15,2.23
8/5/15,2.28
8/4/15,2.23
8/3/15,2.16
7/31/15,2.2
7/30/15,2.28
7/29/15,2.29
7/28/15,2.26
7/27/15,2.23
7/24/15,2.27
7/23/15,2.28
7/22/15,2.33
7/21/15,2.35
7/20/15,2.38
7/17/15,2.34
7/16/15,2.36
7/15/15,2.36
7/14/15,2.41
7/13/15,2.44
7/10/15,2.42
7/9/15,2.32
7/8/15,2.22
7/7/15,2.27
7/6/15,2.3
7/2/15,2.4
7/1/15,2.43
6/30/15,2.35
6/29/15,2.33
6/26/15,2.49
6/25/15,2.4
6/24/15,2.38
6/23/15,2.42
6/22/15,2.37
6/19/15,2.26
6/18/15,2.35
6/17/15,2.32
6/16/15,2.32
6/15/15,2.36
6/12/15,2.39
6/11/15,2.39
6/10/15,2.5
6/9/15,2.42
6/8/15,2.39
6/5/15,2.41
6/4/15,2.31
6/3/15,2.38
6/2/15,2.27
6/1/15,2.19
5/29/15,2.12
5/28/15,2.13
5/27/15,2.14
5/26/15,2.14
5/22/15,2.21
5/21/15,2.19
5/20/15,2.26
5/19/15,2.27
5/18/15,2.23
5/15/15,2.14
5/14/15,2.23
5/13/15,2.27
5/12/15,2.28
5/11/15,2.28
5/8/15,2.16
5/7/15,2.18
5/6/15,2.25
5/5/15,2.19
5/4/15,2.16
5/1/15,2.12
4/30/15,2.05
4/29/15,2.06
4/28/15,2
4/27/15,1.94
4/24/15,1.93
4/23/15,1.96
4/22/15,1.99
4/21/15,1.92
4/20/15,1.9
4/17/15,1.87
4/16/15,1.9
4/15/15,1.91
4/14/15,1.9
4/13/15,1.94
4/10/15,1.96
4/9/15,1.97
4/8/15,1.92
4/7/15,1.89
4/6/15,1.92
4/3/15,1.85
4/2/15,1.92
4/1/15,1.87
3/31/15,1.94
3/30/15,1.96
3/27/15,1.95
3/26/15,2.01
3/25/15,1.93
3/24/15,1.88
3/23/15,1.92
3/20/15,1.93
3/19/15,1.98
3/18/15,1.93
3/17/15,2.06
3/16/15,2.1
3/13/15,2.13
3/12/15,2.1
3/11/15,2.11
3/10/15,2.14
3/9/15,2.2
3/6/15,2.24
3/5/15,2.11
3/4/15,2.12
3/3/15,2.12
3/2/15,2.08
2/27/15,2
